host_is_superhost,neighborhood,borough,room_type,accommodates,price,review_scores_location,review_scores_rating
f,Canarsie,Brooklyn,Private room,2,143,0.00,0.00
f,Canarsie,Brooklyn,Private room,1,30,4.85,4.85
f,Tottenville,Staten Island,Entire home/apt,6,157,0.00,0.00
t,Sheepshead Bay,Brooklyn,Private room,2,89,5.00,5.00
f,North Riverdale,Bronx,Entire home/apt,3,125,4.72,4.48
f,Flushing,Queens,Private room,3,63,4.93,4.68
f,Whitestone,Queens,Private room,2,82,0.00,0.00
f,Prince's Bay,Staten Island,Entire home/apt,3,118,5.00,5.00
f,Richmond Hill,Queens,Private room,1,49,5.00,5.00
t,Kingsbridge,Bronx,Entire home/apt,4,115,4.80,5.00
f,Belle Harbor,Queens,Shared room,2,975,0.00,0.00
f,Queens Village,Queens,Entire home/apt,4,179,5.00,5.00
f,Far Rockaway,Queens,Entire home/apt,7,172,4.24,4.76
f,Richmond Hill,Queens,Private room,1,68,4.83,5.00
f,Far Rockaway,Queens,Private room,2,100,0.00,0.00
t,Edgemere,Queens,Entire home/apt,6,380,4.88,4.88
f,Dongan Hills,Staten Island,Entire home/apt,7,175,4.82,4.61
f,Rockaway Beach,Queens,Private room,2,60,4.46,4.54
f,Kingsbridge,Bronx,Shared room,1,301,0.00,0.00
f,Brighton Beach,Brooklyn,Entire home/apt,4,109,4.83,4.83
f,College Point,Queens,Private room,1,41,0.00,0.00
f,Far Rockaway,Queens,Private room,1,105,5.00,5.00
f,Port Richmond,Staten Island,Private room,3,40,0.00,0.00
f,Queens Village,Queens,Entire home/apt,2,80,5.00,4.67
f,Edgemere,Queens,Entire home/apt,2,90,4.38,4.31
f,Jamaica,Queens,Private room,6,60,0.00,0.00
f,Bayswater,Queens,Private room,2,85,5.00,5.00
f,Far Rockaway,Queens,Private room,2,99,4.00,5.00
t,Bayside,Queens,Entire home/apt,6,216,4.99,4.95
f,Richmondtown,Staten Island,Private room,2,150,0.00,0.00
f,Far Rockaway,Queens,Entire home/apt,4,280,0.00,0.00
t,Canarsie,Brooklyn,Entire home/apt,5,143,4.82,4.94
t,Queens Village,Queens,Entire home/apt,5,156,5.00,5.00
f,Far Rockaway,Queens,Entire home/apt,4,152,0.00,0.00
t,Oakwood,Staten Island,Entire home/apt,3,128,4.78,4.67
f,College Point,Queens,Private room,2,55,4.43,4.71
f,Little Neck,Queens,Shared room,4,225,4.77,4.73
t,Manhattan Beach,Brooklyn,Entire home/apt,4,50,4.64,4.74
f,Canarsie,Brooklyn,Entire home/apt,2,70,0.00,0.00
f,Jamaica,Queens,Private room,1,45,4.73,4.83
f,Norwood,Bronx,Private room,6,188,0.00,0.00
f,Sheepshead Bay,Brooklyn,Private room,1,28,0.00,0.00
f,East Elmhurst,Queens,Private room,2,46,4.74,4.61
f,Gravesend,Brooklyn,Private room,2,175,5.00,5.00
t,Richmond Hill,Queens,Private room,2,56,4.78,4.85
t,Richmond Hill,Queens,Private room,1,55,4.75,4.75
f,Sheepshead Bay,Brooklyn,Entire home/apt,4,101,0.00,0.00
t,Canarsie,Brooklyn,Entire home/apt,5,215,4.67,4.87
f,Coney Island,Brooklyn,Entire home/apt,12,289,0.00,0.00
f,Queens Village,Queens,Entire home/apt,15,380,5.00,5.00
f,Jamaica,Queens,Private room,2,50,4.53,4.69
f,Clason Point,Bronx,Private room,2,99,0.00,0.00
t,Sheepshead Bay,Brooklyn,Entire home/apt,7,199,5.00,4.80
f,Canarsie,Brooklyn,Entire home/apt,4,151,4.52,4.41
t,Sheepshead Bay,Brooklyn,Private room,1,35,0.00,0.00
t,Gravesend,Brooklyn,Private room,1,26,0.00,0.00
f,Sheepshead Bay,Brooklyn,Private room,2,109,0.00,0.00
f,Sheepshead Bay,Brooklyn,Entire home/apt,5,133,4.36,4.17
t,Bayside,Queens,Private room,2,89,5.00,5.00
f,East Elmhurst,Queens,Private room,1,36,4.67,4.67
f,Whitestone,Queens,Private room,2,99,0.00,0.00
f,Bayside,Queens,Entire home/apt,8,418,4.87,4.70
t,Spuyten Duyvil,Bronx,Entire home/apt,5,151,4.88,4.73
f,Olinville,Bronx,Entire home/apt,3,175,4.81,4.69
f,Bayside,Queens,Entire home/apt,7,290,4.89,4.61
