id,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,review_scores_location
2595,f,Midtown,Manhattan,40.75356,-73.98559,Entire home/apt,1,225,4.86
5121,f,Bedford-Stuyvesant,Brooklyn,40.68535,-73.95512,Private room,2,60,4.47
5136,f,Sunset Park,Brooklyn,40.66265,-73.99454,Entire home/apt,4,275,4.50
5178,f,Midtown,Manhattan,40.76457,-73.98317,Private room,2,68,4.87
5203,f,Upper West Side,Manhattan,40.8038,-73.96751,Private room,1,75,4.94
5295,t,Morningside Heights,Manhattan,40.80316,-73.96387,Entire home/apt,2,135,4.75
5803,f,South Slope,Brooklyn,40.66801,-73.98784,Private room,2,118,4.86
6848,t,Williamsburg,Brooklyn,40.70935,-73.95342,Entire home/apt,3,84,4.67
6872,f,East Harlem,Manhattan,40.80107,-73.94255,Private room,1,65,0.00
6990,t,East Harlem,Manhattan,40.78778,-73.94759,Private room,1,62,4.85
7064,f,Williamsburg,Brooklyn,40.71248,-73.95881,Private room,2,90,5.00
7097,t,Fort Greene,Brooklyn,40.691083,-73.972544,Entire home/apt,4,199,4.94
7801,t,Williamsburg,Brooklyn,40.71778,-73.9568,Entire home/apt,4,395,5.00
8490,t,Bedford-Stuyvesant,Brooklyn,40.68462,-73.93839,Entire home/apt,5,135,4.64
9357,f,Hell's Kitchen,Manhattan,40.76724,-73.98664,Entire home/apt,2,175,4.95
9704,f,Harlem,Manhattan,40.81317,-73.95465,Private room,2,55,4.84
10452,f,Bedford-Stuyvesant,Brooklyn,40.68294,-73.95682,Private room,3,82,4.37
10962,f,South Slope,Brooklyn,40.66692,-73.98981,Private room,2,119,4.87
11943,f,Flatbush,Brooklyn,40.63702,-73.96327,Private room,1,150,0.00
12192,t,East Village,Manhattan,40.72296,-73.98383,Private room,2,75,4.71
12937,t,Long Island City,Queens,40.74757,-73.94571,Private room,4,140,4.89
12940,f,Bedford-Stuyvesant,Brooklyn,40.67946,-73.95417,Entire home/apt,2,119,4.02
13121,f,Jamaica,Queens,40.67144,-73.76501,Private room,3,75,3.59
13808,f,Bedford-Stuyvesant,Brooklyn,40.68064,-73.94039,Private room,2,80,4.52
14290,f,Williamsburg,Brooklyn,40.70348,-73.93621,Entire home/apt,2,248,4.80
14314,f,Greenpoint,Brooklyn,40.73535,-73.95584,Entire home/apt,2,99,4.80
14434,f,Bedford-Stuyvesant,Brooklyn,40.68777,-73.94976,Private room,2,70,4.15
15220,f,Hell's Kitchen,Manhattan,40.75611,-73.99523,Private room,1,86,4.88
15341,t,Lower East Side,Manhattan,40.721359,-73.993668,Entire home/apt,3,229,4.71
15385,f,Williamsburg,Brooklyn,40.71211,-73.96397,Private room,1,80,4.83
15396,f,Chelsea,Manhattan,40.74493,-73.99521,Entire home/apt,4,400,4.80
15711,f,Upper East Side,Manhattan,40.77119,-73.95241,Entire home/apt,6,206,4.70
16326,f,Prospect Heights,Brooklyn,40.67839,-73.96642,Entire home/apt,8,140,4.85
16338,f,Clinton Hill,Brooklyn,40.69121,-73.96804,Private room,1,55,4.69
16580,t,East Village,Manhattan,40.72489,-73.9781,Private room,2,138,4.73
16595,f,Williamsburg,Brooklyn,40.7092,-73.96641,Entire home/apt,2,500,4.73
16821,f,East Village,Manhattan,40.72281,-73.98501,Private room,1,169,4.90
16974,f,East Harlem,Manhattan,40.8019,-73.93762,Entire home/apt,8,250,4.43
17037,f,East Village,Manhattan,40.72289,-73.98028,Entire home/apt,2,220,4.56
17693,f,Washington Heights,Manhattan,40.83253,-73.94108,Private room,2,75,4.84
18152,f,Upper East Side,Manhattan,40.76967,-73.94831,Private room,2,200,4.71
18728,t,Chelsea,Manhattan,40.74261,-74.00353,Private room,3,175,5.00
18961,f,Kips Bay,Manhattan,40.73808,-73.98001,Private room,2,95,5.00
19159,f,Harlem,Manhattan,40.82817,-73.95133,Entire home/apt,2,110,4.25
19812,f,Williamsburg,Brooklyn,40.71802,-73.95724,Entire home/apt,2,105,4.98
20913,f,Williamsburg,Brooklyn,40.70967,-73.95922,Entire home/apt,2,80,4.40
21456,f,Upper West Side,Manhattan,40.79936,-73.96155,Private room,2,88,4.76
