id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,price,number_of_reviews,review_scores_location
2595,Midtown,Manhattan,40.75356,-73.98559,Entire home/apt,1,225,48,4.86
5121,Bedford-Stuyvesant,Brooklyn,40.68535,-73.95512,Private room,2,60,50,4.47
5136,Sunset Park,Brooklyn,40.66265,-73.99454,Entire home/apt,4,275,2,4.50
5178,Midtown,Manhattan,40.76457,-73.98317,Private room,2,68,536,4.87
5203,Upper West Side,Manhattan,40.8038,-73.96751,Private room,1,75,118,4.94
5295,Morningside Heights,Manhattan,40.80316,-73.96387,Entire home/apt,2,135,56,4.75
5803,South Slope,Brooklyn,40.66801,-73.98784,Private room,2,118,211,4.86
6848,Williamsburg,Brooklyn,40.70935,-73.95342,Entire home/apt,3,84,184,4.67
6872,East Harlem,Manhattan,40.80107,-73.94255,Private room,1,65,0,0.00
6990,East Harlem,Manhattan,40.78778,-73.94759,Private room,1,62,238,4.85
7064,Williamsburg,Brooklyn,40.71248,-73.95881,Private room,2,90,9,5.00
7097,Fort Greene,Brooklyn,40.691083,-73.972544,Entire home/apt,4,199,294,4.94
7801,Williamsburg,Brooklyn,40.71778,-73.9568,Entire home/apt,4,395,9,5.00
8490,Bedford-Stuyvesant,Brooklyn,40.68462,-73.93839,Entire home/apt,5,135,149,4.64
9357,Hell's Kitchen,Manhattan,40.76724,-73.98664,Entire home/apt,2,175,58,4.95
9704,Harlem,Manhattan,40.81317,-73.95465,Private room,2,55,98,4.84
10452,Bedford-Stuyvesant,Brooklyn,40.68294,-73.95682,Private room,3,82,80,4.37
10962,South Slope,Brooklyn,40.66692,-73.98981,Private room,2,119,204,4.87
11943,Flatbush,Brooklyn,40.63702,-73.96327,Private room,1,150,0,0.00
12192,East Village,Manhattan,40.72296,-73.98383,Private room,2,75,274,4.71
12937,Long Island City,Queens,40.74757,-73.94571,Private room,4,140,325,4.89
12940,Bedford-Stuyvesant,Brooklyn,40.67946,-73.95417,Entire home/apt,2,119,72,4.02
13121,Jamaica,Queens,40.67144,-73.76501,Private room,3,75,70,3.59
13808,Bedford-Stuyvesant,Brooklyn,40.68064,-73.94039,Private room,2,80,163,4.52
14290,Williamsburg,Brooklyn,40.70348,-73.93621,Entire home/apt,2,248,140,4.80
14314,Greenpoint,Brooklyn,40.73535,-73.95584,Entire home/apt,2,99,179,4.80
14434,Bedford-Stuyvesant,Brooklyn,40.68777,-73.94976,Private room,2,70,59,4.15
15220,Hell's Kitchen,Manhattan,40.75611,-73.99523,Private room,1,86,368,4.88
15341,Lower East Side,Manhattan,40.721359,-73.993668,Entire home/apt,3,229,31,4.71
15385,Williamsburg,Brooklyn,40.71211,-73.96397,Private room,1,80,49,4.83
15396,Chelsea,Manhattan,40.74493,-73.99521,Entire home/apt,4,400,5,4.80
15711,Upper East Side,Manhattan,40.77119,-73.95241,Entire home/apt,6,206,84,4.70
16326,Prospect Heights,Brooklyn,40.67839,-73.96642,Entire home/apt,8,140,154,4.85
16338,Clinton Hill,Brooklyn,40.69121,-73.96804,Private room,1,55,29,4.69
16580,East Village,Manhattan,40.72489,-73.9781,Private room,2,138,458,4.73
16595,Williamsburg,Brooklyn,40.7092,-73.96641,Entire home/apt,2,500,229,4.73
16821,East Village,Manhattan,40.72281,-73.98501,Private room,1,169,150,4.90
16974,East Harlem,Manhattan,40.8019,-73.93762,Entire home/apt,8,250,247,4.43
17037,East Village,Manhattan,40.72289,-73.98028,Entire home/apt,2,220,53,4.56
17693,Washington Heights,Manhattan,40.83253,-73.94108,Private room,2,75,62,4.84
18152,Upper East Side,Manhattan,40.76967,-73.94831,Private room,2,200,148,4.71
18728,Chelsea,Manhattan,40.74261,-74.00353,Private room,3,175,212,5.00
18961,Kips Bay,Manhattan,40.73808,-73.98001,Private room,2,95,1,5.00
19159,Harlem,Manhattan,40.82817,-73.95133,Entire home/apt,2,110,58,4.25
19812,Williamsburg,Brooklyn,40.71802,-73.95724,Entire home/apt,2,105,61,4.98
20913,Williamsburg,Brooklyn,40.70967,-73.95922,Entire home/apt,2,80,168,4.40
21456,Upper West Side,Manhattan,40.79936,-73.96155,Private room,2,88,85,4.76
21644,Harlem,Manhattan,40.82782,-73.9473,Private room,1,99,3,5.00
21794,Chelsea,Manhattan,40.74187,-74.00223,Private room,2,85,36,5.00
23135,Carroll Gardens,Brooklyn,40.67747,-74.00146,Entire home/apt,2,189,280,4.65
23686,West Village,Manhattan,40.72961,-74.00308,Entire home/apt,4,620,54,4.98
24285,Park Slope,Brooklyn,40.67115,-73.98026,Entire home/apt,5,220,92,4.77
25406,Williamsburg,Brooklyn,40.71649,-73.94865,Entire home/apt,4,83,29,4.79
25696,Harlem,Manhattan,40.8104,-73.94309,Private room,2,100,190,4.65
26362,Hell's Kitchen,Manhattan,40.75603,-73.99294,Private room,1,79,447,4.83
26785,South Slope,Brooklyn,40.6686,-73.98723,Entire home/apt,2,90,479,4.89
27006,Upper West Side,Manhattan,40.77839,-73.97778,Entire home/apt,4,225,28,4.87
27644,Harlem,Manhattan,40.82682,-73.94948,Entire home/apt,6,180,219,4.64
27883,East Village,Manhattan,40.72421,-73.98509,Entire home/apt,3,100,25,4.79
28907,Upper East Side,Manhattan,40.77827,-73.94669,Entire home/apt,4,150,21,4.94
29013,Bedford-Stuyvesant,Brooklyn,40.68288,-73.95646,Private room,2,80,70,4.38
29628,Clinton Hill,Brooklyn,40.68292,-73.96381,Private room,2,89,314,4.84
29683,Lower East Side,Manhattan,40.72314,-73.99108,Entire home/apt,3,185,118,4.90
31130,Hell's Kitchen,Manhattan,40.7672,-73.98464,Private room,1,165,68,5.00
31555,West Village,Manhattan,40.73405,-74.00281,Entire home/apt,2,120,32,4.93
31902,East Flatbush,Brooklyn,40.6327,-73.93184,Private room,2,80,4,4.33
31994,Clinton Hill,Brooklyn,40.68818,-73.96383,Private room,2,96,503,4.72
32037,Clinton Hill,Brooklyn,40.68513,-73.96648,Private room,3,139,92,4.83
32329,East Village,Manhattan,40.72741,-73.98405,Entire home/apt,1,160,3,5.00
33009,Williamsburg,Brooklyn,40.71512,-73.95899,Entire home/apt,2,235,280,4.96
33156,Upper West Side,Manhattan,40.78763,-73.96862,Entire home/apt,2,139,20,5.00
36647,East Harlem,Manhattan,40.79128,-73.94125,Private room,2,76,49,4.37
36703,West Village,Manhattan,40.73271,-74.00367,Entire home/apt,2,175,141,4.98
36934,Williamsburg,Brooklyn,40.71371,-73.96203,Entire home/apt,2,100,27,4.83
38663,Boerum Hill,Brooklyn,40.68442,-73.98068,Entire home/apt,13,800,32,4.86
39282,Williamsburg,Brooklyn,40.70978,-73.95165,Private room,2,85,241,4.85
39572,Hell's Kitchen,Manhattan,40.76203,-73.98869,Private room,2,139,44,4.98
39593,Sunnyside,Queens,40.74523,-73.92318,Private room,1,78,29,4.73
39704,Bedford-Stuyvesant,Brooklyn,40.68216,-73.94594,Entire home/apt,4,135,337,4.38
42300,Lower East Side,Manhattan,40.71992,-73.99167,Entire home/apt,4,550,67,4.59
42729,Carroll Gardens,Brooklyn,40.67813,-74.00062,Entire home/apt,2,175,182,4.57
42882,St. George,Staten Island,40.64633,-74.08156,Private room,2,70,176,4.52
43105,Midtown,Manhattan,40.7449,-73.98499,Entire home/apt,2,185,4,5.00
43726,Tribeca,Manhattan,40.721,-74.00971,Entire home/apt,6,259,13,5.00
44229,Fort Greene,Brooklyn,40.69287,-73.97108,Private room,2,110,231,4.83
44288,West Village,Manhattan,40.73737,-74.00437,Entire home/apt,2,170,88,4.98
44973,Williamsburg,Brooklyn,40.70894,-73.95234,Entire home/apt,2,104,125,4.54
45542,Harlem,Manhattan,40.82569,-73.93842,Entire home/apt,4,100,18,4.44
45556,Fort Greene,Brooklyn,40.68834,-73.97578,Private room,2,65,317,4.97
45910,Ridgewood,Queens,40.70309,-73.89963,Entire home/apt,16,395,13,4.82
45935,Mott Haven,Bronx,40.80635,-73.92201,Private room,1,60,0,0.00
45936,Morningside Heights,Manhattan,40.8063,-73.95985,Private room,2,75,133,4.88
46911,Prospect Heights,Brooklyn,40.68022,-73.97457,Private room,2,120,59,4.77
49048,Bedford-Stuyvesant,Brooklyn,40.6829,-73.95701,Private room,3,90,23,4.27
50447,Gowanus,Brooklyn,40.66913,-73.99041,Entire home/apt,4,162,214,4.89
51438,Upper East Side,Manhattan,40.77449,-73.95308,Private room,1,130,0,0.00
51850,Jamaica,Queens,40.67144,-73.76501,Private room,2,65,53,3.88
52689,Ditmars Steinway,Queens,40.77868,-73.90652,Entire home/apt,4,150,30,4.97
53469,Middle Village,Queens,40.71567,-73.87842,Entire home/apt,4,107,33,4.44
53470,Ridgewood,Queens,40.70422,-73.89778,Entire home/apt,7,193,6,4.25
53477,Middle Village,Queens,40.71778,-73.87714,Entire home/apt,12,350,16,4.69
54466,Harlem,Manhattan,40.80255,-73.95803,Private room,2,200,0,0.00
54508,Park Slope,Brooklyn,40.67908,-73.97405,Private room,2,80,126,4.96
54694,Jamaica,Queens,40.67144,-73.76501,Private room,2,65,62,3.91
54860,East Harlem,Manhattan,40.79934,-73.94236,Private room,2,100,257,4.49
55587,Williamsburg,Brooklyn,40.71311,-73.9506,Entire home/apt,4,235,18,4.89
55959,Williamsburg,Brooklyn,40.71065,-73.95087,Private room,1,95,93,4.85
55982,Fort Greene,Brooklyn,40.68701,-73.97555,Private room,1,85,38,4.85
56859,Harlem,Manhattan,40.81201,-73.94452,Private room,2,74,226,4.49
57166,Ditmars Steinway,Queens,40.772472,-73.906075,Entire home/apt,2,150,87,4.92
57618,Hell's Kitchen,Manhattan,40.76505,-73.98716,Entire home/apt,4,250,118,4.88
57754,Flatiron District,Manhattan,40.74166,-73.9866,Entire home/apt,2,330,161,4.97
57874,East Harlem,Manhattan,40.80747,-73.94076,Entire home/apt,2,160,326,4.58
58059,Harlem,Manhattan,40.8238,-73.94444,Private room,2,60,605,4.65
